Name,Categories,Badges,Viwed
Porto's Bakery & Cafe,"RestaurantsCuban RestaurantsBreakfast, Brunch & Lunch Restaurants",62YEARSIN BUSINESS,
Vegas Seafood Buffet,RestaurantsSeafood RestaurantsBuffet Restaurants,13YEARSIN BUSINESS,
Raffi's Place,RestaurantsFamily Style RestaurantsMiddle Eastern Restaurants,28YEARSIN BUSINESS,
Conrad's Restaurant,RestaurantsAmerican RestaurantsRestaurant Menus,43YEARSIN BUSINESS,
Islands,RestaurantsAmerican RestaurantsFamily Style Restaurants,40YEARSIN BUSINESS,
Foxy's Restaurant,"RestaurantsBreakfast, Brunch & Lunch RestaurantsAmerican Restaurants",40YEARSIN BUSINESS,
Outback Steakhouse,RestaurantsAmerican RestaurantsSteak Houses,34YEARSIN BUSINESS,
Damon's Steak House,RestaurantsSteak HousesSeafood Restaurants,12YEARSIN BUSINESS,
Chinda Barbeque & Restaurant,RestaurantsBarbecue RestaurantsFamily Style Restaurants,34YEARSIN BUSINESS,
Old Village Restaurant,RestaurantsFamily Style RestaurantsMiddle Eastern Restaurants,11YEARSIN BUSINESS,
Lucy's Pizza & Burgers,RestaurantsPizzaCaterers,,
Mediterranean Grill,RestaurantsMediterranean RestaurantsBar & Grills,,
Fresco Ristorante,RestaurantsItalian RestaurantsCaterers,31YEARSIN BUSINESS,
CrepeMaker,RestaurantsAmerican RestaurantsFrench Restaurants,,
Yerevan Restaurant,RestaurantsMediterranean RestaurantsCaterers,20YEARSIN BUSINESS,
Gennaro's Ristorante,RestaurantsItalian RestaurantsCaterers,35YEARSIN BUSINESS,
Georges Cucina Italiana,RestaurantsPizzaItalian Restaurants,21YEARSIN BUSINESS,
Golden Fork Restaurant,RestaurantsFamily Style RestaurantsCaterers,10YEARSIN BUSINESS,
L&L Hawaiian Barbecue,RestaurantsHawaiian RestaurantsBarbecue Restaurants,46YEARSIN BUSINESS,
L.A. Italian Kitchen,RestaurantsPizzaItalian Restaurants,24YEARSIN BUSINESS,
Caravan Restaurant,RestaurantsFamily Style RestaurantsCaterers,20YEARSIN BUSINESS,
El Morfi Grill,RestaurantsLatin American RestaurantsMexican Restaurants,31YEARSIN BUSINESS,
Ninos Pizza Italian Restaurant,RestaurantsItalian RestaurantsPizza,32YEARSIN BUSINESS,
Trimana,RestaurantsFamily Style RestaurantsTake Out Restaurants,20YEARSIN BUSINESS,
BJ's Restaurant & Brewery,RestaurantsAmerican RestaurantsPizza,44YEARSIN BUSINESS,
Din Tai Fung,RestaurantsChinese Restaurants,64YEARSIN BUSINESS,
Teriyaki Me,RestaurantsJapanese RestaurantsCaterers,16YEARSIN BUSINESS,
Glendale Pho Co.,RestaurantsVietnamese RestaurantsAsian Restaurants,19YEARSIN BUSINESS,
Akuma Restaurant,RestaurantsJapanese Restaurants,8YEARSIN BUSINESS,
California Pizza Kitchen,RestaurantsPizzaTake Out Restaurants,37YEARSIN BUSINESS,
