Year,DASH-8,Fokker,"B-737 B-777
Boeing
B-777-200 ER
Boeing",Air Bus,DC-10- 30,Total,Local currency (Million Taka),Foreign currency (Million US $)
1995-96,,5,,,5,10,10518,
1996-97,,4,,,6,10,113421,
1997-98,,4,,,6,10,121896,
1998-99,,4,,,6,10,133013,
1999-00,,3,,,8,11,156151,
2000-01,,3,,,10,13,172112,
2001-02,,3,,4,6,13,181656,
2002-03,,5,,4,8,17,193494,
2003-04,,5,,6,6,17,21038,
2004-05,,4,,4,6,14,23402,
2005-06,,4,3,4,6,13,26617,
2006-07,,3,,3,4,10,24637,
2007-08,,4,1,3,5,13,29798,429
2008-09,,2,2,2,4,10,30397,438
2009-10,,2,2,3,4,11,29437,423
2010-11,,2,3,3,4,12,32886,449
2011-12,,2,5,3,3,13,37895,479
2012-13,,0,4,2,2,8,39400,
2013-14,,0,9,2,2,13,38395,491
2014-15,2,,8,2,,12,46570,596
2015-16,2,2,4,2,4,14,45827,580
2016-17,2,2,4,2,4,14,44243,553
2017-18,2,2,4,1,4,13,48174,575.56
